podName,nodeName,imageName,podStartTime,pullingTime,pulledTime,pullImageTotalTime
imagepullns/multi100m200testff4tv-c8cddd78f-w5l92,cnnorth1a-pod16-common001-cna014,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:10,2019-01-18 18:29:56,2019-01-18 18:29:56,0
imagepullns/multi100m200testrzcfg-84b684d749-7krzc,cnnorth1a-pod16-common001-cna023,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:09,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-97fgr,cnnorth1a-pod16-common001-cna044,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:06,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testff4tv-c8cddd78f-qq52m,cnnorth1a-pod16-common001-cna008,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:07,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-7mt6d,cnnorth1a-pod16-common001-cna062,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:04,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-ccd9c,cnnorth1a-pod16-common001-cna060,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:06,2019-01-18 18:29:29,2019-01-18 18:29:29,0
imagepullns/multi100m200testbjmzl-5fd7448897-hnppg,cnnorth1a-pod16-common001-cna067,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:05,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-nbj7c,cnnorth1a-pod16-common001-cna039,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:06,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-q5qmp,cnnorth1a-pod16-common001-cna072,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-w72kt,cnnorth1a-pod16-common001-cna070,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:04,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testff4tv-c8cddd78f-4pzwj,cnnorth1a-pod16-common001-cna014,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:07,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testff4tv-c8cddd78f-vrwqf,cnnorth1a-pod16-common001-cna002,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:08,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-4pbc7,cnnorth1a-pod16-common001-cna059,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:09,2019-01-18 18:29:23,2019-01-18 18:29:26,3000
imagepullns/multi100m200testrzcfg-84b684d749-bwk2z,cnnorth1a-pod16-common001-cna071,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:11,2019-01-18 18:30:36,2019-01-18 18:30:36,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-hhbtj,cnnorth1a-pod16-common001-cna039,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:29:09,2019-01-18 18:29:11,2000
imagepullns/multi100m200test4b6mp-6b6c94d6b9-r9z2m,cnnorth1a-pod16-common001-cna070,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:29:48,2019-01-18 18:29:51,3000
